name,size,duration,duration(s),speed,size_per_sec
twox_hash::XxHash64,2,155ns,0.000000155,12.31MB/s,12903225.806451613
twox_hash::XxHash3_64,2,237ns,0.000000237,8.05MB/s,8438818.565400844
twox_hash::XxHash3_128,2,255ns,0.000000255,7.48MB/s,7843137.2549019605
seahash,2,207ns,0.000000207,9.21MB/s,9661835.74879227
xxhash::xxh32,2,198ns,0.000000198,9.63MB/s,10101010.1010101
xxhash::xxh64,2,214ns,0.000000214,8.91MB/s,9345794.392523365
xxhash::xxh3_64_with_seed,2,169ns,0.000000169,11.29MB/s,11834319.526627218
xxhash::xxh3_128_with_seed,2,158ns,0.000000158,12.07MB/s,12658227.848101266
xxhash::const_xxh32,2,171ns,0.000000171,11.15MB/s,11695906.432748538
xxhash::const_xxh64,2,184ns,0.000000184,10.37MB/s,10869565.217391305
xxhash::const_xxh3_64_with_seed,2,206ns,0.000000206,9.26MB/s,9708737.86407767
xxhash::const_xxh3_128_with_seed,2,229ns,0.000000229,8.33MB/s,8733624.454148471
murmur3_32,2,230ns,0.00000023,8.29MB/s,8695652.173913043
murmur3_x64_128,2,237ns,0.000000237,8.05MB/s,8438818.565400844
murmur3_x86_128,2,246ns,0.000000246,7.75MB/s,8130081.300813008
murmur3_32_of_slice,2,150ns,0.00000015,12.72MB/s,13333333.333333334
murmur3_x64_128_of_slice,2,197ns,0.000000197,9.68MB/s,10152284.263959391
murmur3_x86_128_of_slice,2,198ns,0.000000198,9.63MB/s,10101010.1010101
md5_compute,4,546ns,0.000000546,6.99MB/s,7326007.326007326
Blake2b512,4,1.93µs,0.00000193,1.98MB/s,2072538.860103627
Blake2s256,4,1.229µs,0.000001229,3.10MB/s,3254678.6004882017
Sha1,4,959ns,0.000000959,3.98MB/s,4171011.470281543
Keccak224,4,1.784µs,0.000001784,2.14MB/s,2242152.466367713
Keccak256,4,1.696µs,0.000001696,2.25MB/s,2358490.566037736
Keccak384,4,1.714µs,0.000001714,2.23MB/s,2333722.287047841
Keccak512,4,1.604µs,0.000001604,2.38MB/s,2493765.5860349126
Keccak256Full,4,3.471µs,0.000003471,1.10MB/s,1152405.6467876693
Sha3_224,4,1.611µs,0.000001611,2.37MB/s,2482929.857231533
Sha3_256,4,1.651µs,0.000001651,2.31MB/s,2422774.0763173834
Sha3_384,4,1.793µs,0.000001793,2.13MB/s,2230897.936419409
Sha3_512,4,1.736µs,0.000001736,2.20MB/s,2304147.465437788
Sha224,4,1.582µs,0.000001582,2.41MB/s,2528445.0063211126
Sha256,4,1.126µs,0.000001126,3.39MB/s,3552397.868561279
Sha384,4,1.668µs,0.000001668,2.29MB/s,2398081.5347721823
Sha512,4,1.704µs,0.000001704,2.24MB/s,2347417.840375587
Sha512_224,4,1.306µs,0.000001306,2.92MB/s,3062787.136294028
Sha512_256,4,1.362µs,0.000001362,2.80MB/s,2936857.5624082233
sm3,4,1.545µs,0.000001545,2.47MB/s,2588996.763754045
crc<u16>,4,451ns,0.000000451,8.46MB/s,8869179.600886919
crc<u32>,4,658ns,0.000000658,5.80MB/s,6079027.3556231
crc<u64>,4,1.29µs,0.00000129,2.96MB/s,3100775.19379845
crc16,4,317ns,0.000000317,12.03MB/s,12618296.529968454
crc32fast,4,402ns,0.000000402,9.49MB/s,9950248.756218905
crc64,4,212ns,0.000000212,17.99MB/s,18867924.528301887
sha256,4,1.469µs,0.000001469,2.60MB/s,2722940.776038121
twox_hash::XxHash32,4,149ns,0.000000149,25.60MB/s,26845637.583892617
twox_hash::XxHash64,4,180ns,0.00000018,21.19MB/s,22222222.222222224
twox_hash::XxHash3_64,4,189ns,0.000000189,20.18MB/s,21164021.164021164
twox_hash::XxHash3_128,4,309ns,0.000000309,12.35MB/s,12944983.818770226
seahash,4,186ns,0.000000186,20.51MB/s,21505376.34408602
xxhash::xxh32,4,192ns,0.000000192,19.87MB/s,20833333.333333332
xxhash::xxh64,4,164ns,0.000000164,23.26MB/s,24390243.902439024
xxhash::xxh3_64_with_seed,4,159ns,0.000000159,23.99MB/s,25157232.704402518
xxhash::xxh3_128_with_seed,4,183ns,0.000000183,20.85MB/s,21857923.49726776
xxhash::const_xxh32,4,199ns,0.000000199,19.17MB/s,20100502.512562815
xxhash::const_xxh64,4,199ns,0.000000199,19.17MB/s,20100502.512562815
xxhash::const_xxh3_64_with_seed,4,174ns,0.000000174,21.92MB/s,22988505.747126438
xxhash::const_xxh3_128_with_seed,4,193ns,0.000000193,19.77MB/s,20725388.60103627
murmur3_32,4,225ns,0.000000225,16.95MB/s,17777777.777777776
murmur3_x64_128,4,252ns,0.000000252,15.14MB/s,15873015.873015873
murmur3_x86_128,4,264ns,0.000000264,14.45MB/s,15151515.151515152
murmur3_32_of_slice,4,158ns,0.000000158,24.14MB/s,25316455.69620253
murmur3_x64_128_of_slice,4,197ns,0.000000197,19.36MB/s,20304568.527918782
murmur3_x86_128_of_slice,4,201ns,0.000000201,18.98MB/s,19900497.51243781
md5_compute,8,575ns,0.000000575,13.27MB/s,13913043.47826087
Blake2b512,8,1.71µs,0.00000171,4.46MB/s,4678362.573099415
Blake2s256,8,1.225µs,0.000001225,6.23MB/s,6530612.244897959
