name,size,duration,duration(s),speed,size_per_sec
mmh3_x86_128_uintdigest,8192,2132,2132,3.GB/s,3842401500.9380865
xxh32_intdigest,8192,1656,1656,4.GB/s,4946859903.381642
xxh3_64_intdigest,8192,862,862,8.GB/s,9503480278.422274
xxh3_128_intdigest,8192,928,928,8.GB/s,8827586206.896551
mmh3_32_uintdigest,16384,6697,6697,2.GB/s,2446468568.015529
mmh3_x64_128_uintdigest,16384,2803,2803,5.GB/s,5845165893.685337
mmh3_x86_128_uintdigest,16384,4086,4086,3.GB/s,4009789525.2080274
xxh32_intdigest,16384,3013,3013,5.GB/s,5437769664.785928
xxh3_64_intdigest,16384,1347,1347,11GB/s,12163325909.42836
xxh3_128_intdigest,16384,1383,1383,11GB/s,11846710050.614607
mmh3_32_uintdigest,32768,13224,13224,2.GB/s,2477918935.2692075
mmh3_x64_128_uintdigest,32768,5469,5469,5.GB/s,5991588955.933443
mmh3_x86_128_uintdigest,32768,8059,8059,3.GB/s,4066013152.9966497
xxh32_intdigest,32768,6020,6020,5.GB/s,5443189368.770764
xxh3_64_intdigest,32768,2316,2316,13GB/s,14148531951.64076
xxh3_128_intdigest,32768,2489,2489,12GB/s,13165126556.850142
mmh3_32_uintdigest,65536,26053,26053,2.GB/s,2515487659.7704678
mmh3_x64_128_uintdigest,65536,10673,10673,5.GB/s,6140354164.714701
mmh3_x86_128_uintdigest,65536,15709,15709,3.GB/s,4171875994.6527467
xxh32_intdigest,65536,11036,11036,5.GB/s,5938383472.272563
xxh3_64_intdigest,65536,4170,4170,14GB/s,15716067146.282974
xxh3_128_intdigest,65536,4314,4314,14GB/s,15191469633.75058
mmh3_32_uintdigest,131072,52066,52066,2.GB/s,2517420197.4417086
mmh3_x64_128_uintdigest,131072,21064,21064,5.GB/s,6222559817.698442
mmh3_x86_128_uintdigest,131072,31287,31287,3.GB/s,4189343816.920766
xxh32_intdigest,131072,21822,21822,5.GB/s,6006415543.946476
xxh3_64_intdigest,131072,7924,7924,15GB/s,16541140837.960627
xxh3_128_intdigest,131072,8162,8162,14GB/s,16058809115.41289
mmh3_32_uintdigest,262144,105776,105776,2.GB/s,2478293752.836182
mmh3_x64_128_uintdigest,262144,40703,40703,5.GB/s,6440409797.803601
mmh3_x86_128_uintdigest,262144,60612,60612,4.GB/s,4324952154.688841
xxh32_intdigest,262144,41737,41737,5.GB/s,6280853918.585428
xxh3_64_intdigest,262144,14870,14870,16GB/s,17629051782.111633
xxh3_128_intdigest,262144,15073,15073,16GB/s,17391627413.25549
mmh3_32_uintdigest,524288,199891,199891,2.GB/s,2622869463.8578024
mmh3_x64_128_uintdigest,524288,87599,87599,5.GB/s,5985091154.008608
mmh3_x86_128_uintdigest,524288,126596,126596,3.GB/s,4141426269.392398
xxh32_intdigest,524288,81350,81350,6.GB/s,6444843269.821758
xxh3_64_intdigest,524288,28265,28265,17GB/s,18549018220.41394
xxh3_128_intdigest,524288,28588,28588,17GB/s,18339443122.988667
mmh3_32_uintdigest,1048576,395946,395946,2.GB/s,2648280321.053881
mmh3_x64_128_uintdigest,1048576,150995,150995,6.GB/s,6944441868.936057
mmh3_x86_128_uintdigest,1048576,226268,226268,4.GB/s,4634221365.813991
xxh32_intdigest,1048576,165145,165145,5.GB/s,6349426261.769959
xxh3_64_intdigest,1048576,59202,59202,16GB/s,17711834059.660145
xxh3_128_intdigest,1048576,53237,53237,18GB/s,19696376580.197983
mmh3_32_uintdigest,2097152,887802,887802,2.GB/s,2362184360.927324
mmh3_x64_128_uintdigest,2097152,449580,449580,4.GB/s,4664691489.834957
mmh3_x86_128_uintdigest,2097152,663119,663119,2.GB/s,3162557550.0023375
xxh32_intdigest,2097152,439495,439495,4.GB/s,4771731191.481132
xxh3_64_intdigest,2097152,155509,155509,12GB/s,13485727514.163168
xxh3_128_intdigest,2097152,160402,160402,12GB/s,13074350693.881622
mmh3_32_uintdigest,4194304,1629584,1629584,2.GB/s,2573849522.33208
mmh3_x64_128_uintdigest,4194304,634792,634792,6.GB/s,6607367452.645906
mmh3_x86_128_uintdigest,4194304,959184,959184,4.GB/s,4372783532.6694355
xxh32_intdigest,4194304,641937,641937,6.GB/s,6533824970.363135
xxh3_64_intdigest,4194304,219557,219557,17GB/s,19103485655.20571
xxh3_128_intdigest,4194304,214274,214274,18GB/s,19574488738.717716
mmh3_32_uintdigest,8388608,3205994,3205994,2.GB/s,2616538895.5812144
mmh3_x64_128_uintdigest,8388608,1420564,1420564,5.GB/s,5905125006.687485
mmh3_x86_128_uintdigest,8388608,2065302,2065302,3.GB/s,4061685893.878958
xxh32_intdigest,8388608,1352788,1352788,5.GB/s,6200977536.761119
xxh3_64_intdigest,8388608,491684,491684,15GB/s,17060974121.59029
xxh3_128_intdigest,8388608,447567,447567,17GB/s,18742686569.832005
mmh3_32_uintdigest,16777216,6823237,6823237,2.GB/s,2458835300.605856
mmh3_x64_128_uintdigest,16777216,4332567,4332567,3.GB/s,3872350040.9803243
mmh3_x86_128_uintdigest,16777216,4330916,4330916,3.GB/s,3873826229.832211
xxh32_intdigest,16777216,3089488,3089488,5.GB/s,5430419538.771473
xxh3_64_intdigest,16777216,1496738,1496738,10GB/s,11209186911.804203
xxh3_128_intdigest,16777216,1260451,1260451,12GB/s,13310486484.59956
